customer_id,tenure_months,monthly_spend,support_tickets,plan,region,churned
C001,2,29,5,basic,north,1
C002,18,59,1,standard,north,0
C003,4,35,4,basic,south,1
C004,36,89,0,premium,west,0
C005,7,45,3,basic,east,1
C006,24,69,1,standard,west,0
C007,3,99,2,premium,south,0
C008,30,49,0,basic,north,0
C009,12,79,3,standard,east,0
C010,42,109,1,premium,west,0
C011,6,39,2,basic,west,1
C012,28,59,1,standard,south,0
C013,15,55,4,standard,north,0
C014,48,129,0,premium,east,0
C015,9,49,2,basic,south,1
C016,33,75,1,standard,east,0
C017,5,119,3,premium,north,1
C018,39,95,0,premium,south,0
C019,21,65,2,standard,west,1
C020,8,31,4,basic,east,1
C021,27,105,2,premium,north,0
C022,11,57,1,standard,south,1
C023,16,43,5,basic,west,1
C024,45,115,1,premium,east,0
