property_id,sqft,bedrooms,age_years,distance_km,neighborhood,rent
R001,420,1,35,1.2,central,1380
R002,510,1,18,3.8,north,1290
R003,640,2,22,5.0,north,1540
R004,730,2,8,2.1,central,2060
R005,860,2,12,6.4,west,1880
R006,920,3,16,7.2,west,2160
R007,1050,3,5,3.0,central,2820
R008,1150,3,11,8.1,south,2380
R009,480,1,28,6.7,south,1110
R010,690,2,30,4.3,east,1510
R011,780,2,14,2.8,east,1940
R012,980,3,24,9.0,south,2010
R013,1220,4,9,5.4,west,2760
R014,1320,4,4,1.7,central,3520
R015,570,1,6,2.4,east,1680
R016,760,2,41,7.8,south,1430
R017,890,3,20,4.6,north,2110
R018,1110,3,7,2.6,central,2990
R019,1260,4,17,6.2,west,2680
R020,1390,4,13,3.4,east,3190
R021,610,2,9,8.5,south,1390
R022,810,2,3,1.9,central,2470
R023,1010,3,28,7.0,north,2130
R024,1440,4,6,4.1,central,3650
